Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,1690,0,20,19.015726695857946,0.5044170000019221,96.15116600000562,7.0,27.959002131300014,0.0,20,23,25,26,30,34,41,47,79,96,96
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,12,0,24,27.830882166667365,12.097499999995875,47.13600000000007,2.0,0.19852545892047346,0.0,26,30,37,37,41,47,47,47,47,47,47
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,8,0,26,30.276015749998496,11.288666999998753,53.546249999996576,2.0,0.1323503059469823,0.0,30,33,41,41,54,54,54,54,54,54,54
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,6,0,25,27.814521000000706,17.732999999999777,42.5258750000026,2.0,0.09926272946023673,0.0,26,26,33,33,43,43,43,43,43,43,43
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,10,0,28,28.626849899999126,20.9582079999997,36.75016699999922,2.0,0.1654378824337279,0.0,28,29,35,37,37,37,37,37,37,37,37
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,4,0,20,34.49583349999941,19.229499999998012,66.69420900000134,2.0,0.06617515297349115,0.0,32,32,67,67,67,67,67,67,67,67,67
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,10,0,27,29.153146000000515,17.98833400000177,47.462334000002215,2.0,0.1654378824337279,0.0,31,31,34,39,47,47,47,47,47,47,47
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,8,0,28,27.27551037499998,0.5358330000007072,42.70545800000036,2.0,0.1323503059469823,0.0,32,38,38,38,43,43,43,43,43,43,43
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,6,0,28,26.96704166666623,1.4692079999960583,38.20879100000241,2.0,0.09926272946023673,0.0,35,35,38,38,38,38,38,38,38,38,38
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,7,0,27,30.61596442857046,20.6735000000009,47.59775000000133,2.0,0.11580651770360952,0.0,27,32,35,35,48,48,48,48,48,48,48
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,7,0,25,25.77803585714327,8.430541999999264,40.53800000000507,2.0,0.11580651770360952,0.0,25,30,31,31,41,41,41,41,41,41,41
